Year,Optimal_biomass,Treatment,SLR_100,dzdt mm/yr,Standing Bio g/m2,Fractional Ind Time,Susp Org Input mm cm-2 y-1,Depth rel to MHW,Cquest   g C m-2 y-1,totBGB (kg/m2),MSL (cm NAVD) 10 ,SLR mm/y,marshE cm NAVD,Marsh E rel MSL (cm),pedonD,Inorg mm yr-1,Tot Live BG BIO kg/m2,Org Vol Fraction,top level root vol mm/cm2,Root Mort kg m-2 y-1,Sum Org Vol cm3, Sum Mineral (cm3) ,Cum Change Org Vol mm/cm2,Cum Change Min Vol mm/cm2,delta (mm) Marsh Elevation
1,'0',None,60 cm 100 y-1,0.81,0.00,0.22,0.00,32.89,0.00,76.00,4.69,3.48,47.88,43.20,94.86,2.36,0.00,0.94,0.00,0.00,88.80,6.01,0.00,0.80,4.10
2,'0',None,60 cm 100 y-1,0.82,0.00,0.22,0.00,33.15,0.00,76.00,5.04,3.53,47.96,42.93,94.94,0.82,0.00,0.94,0.00,0.00,88.80,6.09,0.00,1.60,4.20
3,'0',None,60 cm 100 y-1,0.84,0.00,0.22,0.00,33.43,0.00,76.00,5.39,3.58,48.05,42.66,95.02,0.84,0.00,0.93,0.00,0.00,88.80,6.18,0.00,2.50,4.20
4,'0',None,60 cm 100 y-1,0.85,0.00,0.22,0.00,33.71,0.00,76.00,5.75,3.64,48.13,42.38,95.11,0.85,0.00,0.93,0.00,0.00,88.80,6.26,0.00,3.30,4.30
5,'0',None,60 cm 100 y-1,0.87,0.00,0.22,0.00,33.99,0.00,76.00,6.12,3.69,48.22,42.10,95.20,0.87,0.00,0.93,0.00,0.00,88.80,6.35,0.00,4.20,4.40
6,'0',None,60 cm 100 y-1,0.88,0.00,0.23,0.00,34.27,0.00,76.00,6.49,3.74,48.31,41.82,95.28,0.88,0.00,0.93,0.00,0.00,88.80,6.44,0.00,5.10,4.50
7,'0',None,60 cm 100 y-1,0.90,0.00,0.23,0.00,34.56,0.00,76.00,6.87,3.79,48.40,41.53,95.37,0.90,0.00,0.93,0.00,0.00,88.80,6.53,0.00,6.00,4.60
8,'0',None,60 cm 100 y-1,0.91,0.00,0.23,0.00,34.85,0.00,76.00,7.25,3.85,48.49,41.24,95.46,0.91,0.00,0.93,0.00,0.00,88.80,6.62,0.00,6.90,4.70
9,'0',None,60 cm 100 y-1,0.93,0.00,0.23,0.00,35.15,0.00,76.00,7.64,3.90,48.58,40.94,95.56,0.93,0.00,0.93,0.00,0.00,88.80,6.71,0.00,7.80,4.80
10,'0',None,60 cm 100 y-1,0.94,0.00,0.23,0.00,35.45,0.00,76.00,8.03,3.95,48.67,40.65,95.65,0.94,0.00,0.93,0.00,0.00,88.80,6.80,0.00,8.70,4.90
11,'0',None,60 cm 100 y-1,0.96,0.00,0.24,0.00,35.75,0.00,76.00,8.43,4.00,48.77,40.34,95.75,0.96,0.00,0.93,0.00,0.00,88.80,6.90,0.00,9.70,5.00
12,'0',None,60 cm 100 y-1,0.97,0.00,0.24,0.00,36.06,0.00,76.00,8.83,4.06,48.87,40.04,95.84,0.97,0.00,0.93,0.00,0.00,88.80,7.00,0.00,10.70,5.10
13,'0',None,60 cm 100 y-1,0.99,0.00,0.24,0.00,36.37,0.00,76.00,9.24,4.11,48.97,39.73,95.94,0.99,0.00,0.93,0.00,0.00,88.80,7.10,0.00,11.70,5.20
14,'0',None,60 cm 100 y-1,1.01,0.00,0.24,0.00,36.68,0.00,76.00,9.65,4.16,49.07,39.42,96.04,1.01,0.00,0.93,0.00,0.00,88.80,7.20,0.00,12.70,5.30
15,'0',None,60 cm 100 y-1,1.03,0.00,0.24,0.00,37.00,0.00,76.00,10.07,4.21,49.17,39.10,96.15,1.03,0.00,0.92,0.00,0.00,88.80,7.30,0.00,13.70,5.40
16,'0',None,60 cm 100 y-1,1.04,0.00,0.25,0.00,37.32,0.00,76.00,10.49,4.27,49.27,38.78,96.25,1.04,0.00,0.92,0.00,0.00,88.80,7.40,0.00,14.70,5.50
17,'0',None,60 cm 100 y-1,1.06,0.00,0.25,0.00,37.65,0.00,76.00,10.92,4.32,49.38,38.46,96.36,1.06,0.00,0.92,0.00,0.00,88.80,7.51,0.00,15.80,5.60
18,'0',None,60 cm 100 y-1,1.08,0.00,0.25,0.00,37.98,0.00,76.00,11.36,4.37,49.49,38.13,96.47,1.08,0.00,0.92,0.00,0.00,88.80,7.62,0.00,16.90,5.70
19,'0',None,60 cm 100 y-1,1.10,0.00,0.25,0.00,38.31,0.00,76.00,11.80,4.42,49.60,37.80,96.58,1.10,0.00,0.92,0.00,0.00,88.80,7.73,0.00,18.00,5.80
20,'0',None,60 cm 100 y-1,1.12,0.00,0.25,0.00,38.64,0.00,76.00,12.24,4.48,49.71,37.47,96.69,1.12,0.00,0.92,0.00,0.00,88.80,7.84,0.00,19.10,5.90
21,'0',None,60 cm 100 y-1,1.14,0.00,0.26,0.00,38.98,0.00,76.00,12.69,4.53,49.82,37.13,96.80,1.14,0.00,0.92,0.00,0.00,88.80,7.95,0.00,20.20,6.00
22,'0',None,60 cm 100 y-1,1.16,0.00,0.26,0.00,39.32,0.00,76.00,13.15,4.58,49.94,36.79,96.92,1.16,0.00,0.92,0.00,0.00,88.80,8.07,0.00,21.40,6.10
23,'0',None,60 cm 100 y-1,1.18,0.00,0.26,0.00,39.67,0.00,76.00,13.61,4.63,50.06,36.45,97.04,1.18,0.00,0.92,0.00,0.00,88.80,8.19,0.00,22.60,6.30
24,'0',None,60 cm 100 y-1,1.20,0.00,0.26,0.00,40.02,0.00,76.00,14.08,4.69,50.18,36.10,97.16,1.20,0.00,0.91,0.00,0.00,88.80,8.31,0.00,23.80,6.40
25,'0',None,60 cm 100 y-1,1.22,0.00,0.27,0.00,40.37,0.00,76.00,14.55,4.74,50.30,35.75,97.28,1.22,0.00,0.91,0.00,0.00,88.80,8.43,0.00,25.00,6.50
26,'0',None,60 cm 100 y-1,1.24,0.00,0.27,0.00,40.72,0.00,76.00,15.02,4.79,50.42,35.40,97.40,1.24,0.00,0.91,0.00,0.00,88.80,8.55,0.00,26.20,6.60
27,'0',None,60 cm 100 y-1,1.26,0.00,0.27,0.00,41.08,0.00,76.00,15.51,4.84,50.55,35.05,97.53,1.26,0.00,0.91,0.00,0.00,88.80,8.68,0.00,27.50,6.80
28,'0',None,60 cm 100 y-1,1.29,0.00,0.27,0.00,41.44,0.00,76.00,15.99,4.90,50.68,34.69,97.66,1.29,0.00,0.91,0.00,0.00,88.80,8.81,0.00,28.80,6.90
29,'0',None,60 cm 100 y-1,1.31,0.00,0.28,0.00,41.80,0.00,76.00,16.48,4.95,50.81,34.33,97.79,1.31,0.00,0.91,0.00,0.00,88.80,8.94,0.00,30.10,7.00
30,'0',None,60 cm 100 y-1,1.33,0.00,0.28,0.00,42.17,0.00,76.00,16.98,5.00,50.94,33.96,97.92,1.33,0.00,0.91,0.00,0.00,88.80,9.07,0.00,31.40,7.10
31,'0',None,60 cm 100 y-1,1.36,0.00,0.28,0.00,42.54,0.00,76.00,17.49,5.05,51.08,33.59,98.06,1.36,0.00,0.91,0.00,0.00,88.80,9.21,0.00,32.80,7.30
32,'0',None,60 cm 100 y-1,1.38,0.00,0.28,0.00,42.91,0.00,76.00,17.99,5.11,51.22,33.22,98.19,1.38,0.00,0.90,0.00,0.00,88.80,9.35,0.00,34.20,7.40
33,'0',None,60 cm 100 y-1,1.40,0.00,0.28,0.00,43.29,0.00,76.00,18.51,5.16,51.36,32.85,98.34,1.40,0.00,0.90,0.00,0.00,88.80,9.49,0.00,35.60,7.60
34,'0',None,60 cm 100 y-1,1.43,0.00,0.29,0.00,43.67,0.00,76.00,19.03,5.21,51.50,32.48,98.48,1.43,0.00,0.90,0.00,0.00,88.80,9.63,0.00,37.00,7.70
35,'0',None,60 cm 100 y-1,1.45,0.00,0.29,0.00,44.05,0.00,76.00,19.55,5.26,51.65,32.10,98.62,1.45,0.00,0.90,0.00,0.00,88.80,9.78,0.00,38.50,7.90
36,'0',None,60 cm 100 y-1,1.48,0.00,0.29,0.00,44.43,0.00,76.00,20.08,5.32,51.79,31.72,98.77,1.48,0.00,0.90,0.00,0.00,88.80,9.92,0.00,39.90,8.00
37,'0',None,60 cm 100 y-1,1.51,0.00,0.29,0.00,44.82,0.00,76.00,20.61,5.37,51.95,31.33,98.92,1.51,0.00,0.90,0.00,0.00,88.80,10.07,0.00,41.50,8.20
38,'0',None,60 cm 100 y-1,1.53,0.00,0.30,0.00,45.21,0.00,76.00,21.15,5.42,52.10,30.95,99.08,1.53,0.00,0.90,0.00,0.00,88.80,10.23,0.00,43.00,8.30
39,'0',None,60 cm 100 y-1,1.56,0.00,0.30,0.00,45.60,0.00,76.00,21.70,5.47,52.25,30.56,99.23,1.56,0.00,0.90,0.00,0.00,88.80,10.38,0.00,44.50,8.50
40,'0',None,60 cm 100 y-1,1.59,0.00,0.30,0.00,45.99,0.00,76.00,22.25,5.53,52.41,30.17,99.39,1.59,0.00,0.89,0.00,0.00,88.80,10.54,0.00,46.10,8.60
41,'0',None,60 cm 100 y-1,1.61,0.00,0.31,0.00,46.39,0.00,76.00,22.80,5.58,52.57,29.77,99.55,1.61,0.00,0.89,0.00,0.00,88.80,10.70,0.00,47.70,8.80
42,'0',None,60 cm 100 y-1,1.64,0.00,0.31,0.00,46.79,0.00,76.00,23.36,5.63,52.74,29.37,99.72,1.64,0.00,0.89,0.00,0.00,88.80,10.87,0.00,49.40,8.90
43,'0',None,60 cm 100 y-1,1.67,0.00,0.31,0.00,47.19,0.00,76.00,23.93,5.68,52.90,28.98,99.88,1.67,0.00,0.89,0.00,0.00,88.80,11.03,0.00,51.00,9.10
44,'0',None,60 cm 100 y-1,1.70,0.00,0.31,0.00,47.60,0.00,76.00,24.50,5.74,53.07,28.57,100.05,1.70,0.00,0.89,0.00,0.00,88.80,11.20,0.00,52.70,9.30
45,'0',None,60 cm 100 y-1,1.73,0.00,0.32,0.00,48.00,0.00,76.00,25.08,5.79,53.25,28.17,100.22,1.73,0.00,0.89,0.00,0.00,88.80,11.38,0.00,54.50,9.50
46,'0',None,60 cm 100 y-1,1.76,0.00,0.32,0.00,48.41,0.00,76.00,25.66,5.84,53.42,27.76,100.40,1.76,0.00,0.88,0.00,0.00,88.80,11.55,0.00,56.20,9.60
47,'0',None,60 cm 100 y-1,1.79,0.00,0.32,0.00,48.82,0.00,76.00,26.24,5.89,53.60,27.36,100.58,1.79,0.00,0.88,0.00,0.00,88.80,11.73,0.00,58.00,9.80
48,'0',None,60 cm 100 y-1,1.82,0.00,0.32,0.00,49.24,0.00,76.00,26.84,5.95,53.78,26.95,100.76,1.82,0.00,0.88,0.00,0.00,88.80,11.91,0.00,59.80,10.00
49,'0',None,60 cm 100 y-1,1.85,0.00,0.33,0.00,49.65,0.00,76.00,27.43,6.00,53.97,26.53,100.95,1.85,0.00,0.88,0.00,0.00,88.80,12.10,0.00,61.70,10.20
50,'0',None,60 cm 100 y-1,1.88,0.00,0.33,0.00,50.07,0.00,76.00,28.04,6.05,54.16,26.12,101.13,1.88,0.00,0.88,0.00,0.00,88.80,12.29,0.00,63.60,10.40
51,'0',None,60 cm 100 y-1,1.91,0.00,0.33,0.00,50.49,0.00,76.00,28.64,6.11,54.35,25.70,101.32,1.91,0.00,0.88,0.00,0.00,88.80,12.48,0.00,65.50,10.60
52,'0',None,60 cm 100 y-1,1.94,0.00,0.33,0.00,50.91,0.00,76.00,29.26,6.16,54.54,25.28,101.52,1.94,0.00,0.88,0.00,0.00,88.80,12.67,0.00,67.40,10.70
53,'0',None,60 cm 100 y-1,1.97,0.00,0.34,0.00,51.34,0.00,76.00,29.88,6.21,54.74,24.86,101.72,1.97,0.00,0.87,0.00,0.00,88.80,12.87,0.00,69.40,10.90
54,'0',None,60 cm 100 y-1,2.01,0.00,0.34,0.00,51.76,0.00,76.00,30.50,6.26,54.94,24.44,101.92,2.01,0.00,0.87,0.00,0.00,88.80,13.07,0.00,71.40,11.10
55,'0',None,60 cm 100 y-1,2.04,0.00,0.34,0.00,52.19,0.00,76.00,31.13,6.32,55.14,24.01,102.12,2.04,0.00,0.87,0.00,0.00,88.80,13.27,0.00,73.40,11.30
56,'0',None,60 cm 100 y-1,2.08,0.00,0.35,0.00,52.62,0.00,76.00,31.76,6.37,55.35,23.59,102.33,2.08,0.00,0.87,0.00,0.00,88.80,13.48,0.00,75.50,11.60
57,'0',None,60 cm 100 y-1,2.11,0.00,0.35,0.00,53.05,0.00,76.00,32.40,6.42,55.56,23.16,102.54,2.11,0.00,0.87,0.00,0.00,88.80,13.69,0.00,77.60,11.80
58,'0',None,60 cm 100 y-1,2.14,0.00,0.35,0.00,53.49,0.00,76.00,33.05,6.47,55.78,22.73,102.75,2.14,0.00,0.86,0.00,0.00,88.80,13.91,0.00,79.80,12.00
59,'0',None,60 cm 100 y-1,2.18,0.00,0.35,0.00,53.92,0.00,76.00,33.70,6.53,55.99,22.30,102.97,2.18,0.00,0.86,0.00,0.00,88.80,14.12,0.00,81.90,12.20
60,'0',None,60 cm 100 y-1,2.21,0.00,0.36,0.00,54.36,0.00,76.00,34.35,6.58,56.22,21.86,103.19,2.21,0.00,0.86,0.00,0.00,88.80,14.35,0.00,84.20,12.40
61,'0',None,60 cm 100 y-1,2.23,0.00,0.36,0.00,54.80,0.00,76.00,35.01,6.63,56.44,21.43,103.42,2.23,0.00,0.86,0.00,0.00,88.80,14.57,0.00,86.40,12.60
62,'0',None,60 cm 100 y-1,2.25,0.00,0.36,0.00,55.24,0.00,76.00,35.68,6.68,56.66,20.98,103.64,2.25,0.00,0.86,0.00,0.00,88.80,14.79,0.00,88.60,12.90
63,'0',None,60 cm 100 y-1,2.27,0.00,0.37,0.00,55.69,0.00,76.00,36.35,6.74,56.89,20.54,103.87,2.27,0.00,0.86,0.00,0.00,88.80,15.02,0.00,90.90,13.10
64,'0',None,60 cm 100 y-1,2.28,0.00,0.37,0.00,56.14,0.00,76.00,37.03,6.79,57.12,20.09,104.10,2.28,0.00,0.85,0.00,0.00,88.80,15.25,0.00,93.20,13.30
65,'0',None,60 cm 100 y-1,2.30,0.00,0.37,0.00,56.59,0.00,76.00,37.71,6.84,57.35,19.64,104.33,2.30,0.00,0.85,0.00,0.00,88.80,15.48,0.00,95.50,13.60
66,'0',None,60 cm 100 y-1,2.32,0.00,0.38,0.00,57.05,0.00,76.00,38.39,6.89,57.58,19.19,104.56,2.32,0.00,0.85,0.00,0.00,88.80,15.71,0.00,97.80,13.80
67,'0',None,60 cm 100 y-1,2.34,0.00,0.38,0.00,57.50,0.00,76.00,39.09,6.95,57.81,18.73,104.79,2.34,0.00,0.85,0.00,0.00,88.80,15.94,0.00,100.10,14.00
68,'0',None,60 cm 100 y-1,2.36,0.00,0.38,0.00,57.97,0.00,76.00,39.78,7.00,58.05,18.27,105.03,2.36,0.00,0.85,0.00,0.00,88.80,16.18,0.00,102.50,14.20
69,'0',None,60 cm 100 y-1,2.38,0.00,0.38,0.00,58.43,0.00,76.00,40.48,7.05,58.29,17.80,105.26,2.38,0.00,0.84,0.00,0.00,88.80,16.42,0.00,104.90,14.50
70,'0',None,60 cm 100 y-1,2.40,0.00,0.39,0.00,58.90,0.00,76.00,41.19,7.10,58.53,17.33,105.50,2.40,0.00,0.84,0.00,0.00,88.80,16.66,0.00,107.30,14.70
71,'0',None,60 cm 100 y-1,2.42,0.00,0.39,0.00,59.38,0.00,76.00,41.91,7.16,58.77,16.86,105.75,2.42,0.00,0.84,0.00,0.00,88.80,16.90,0.00,109.70,15.00
72,'0',None,60 cm 100 y-1,2.44,0.00,0.39,0.00,59.85,0.00,76.00,42.62,7.21,59.01,16.39,105.99,2.44,0.00,0.84,0.00,0.00,88.80,17.14,0.00,112.10,15.20
73,'0',None,60 cm 100 y-1,2.45,0.00,0.40,0.00,60.33,0.00,76.00,43.35,7.26,59.26,15.91,106.24,2.45,0.00,0.84,0.00,0.00,88.80,17.39,0.00,114.60,15.50
74,'0',None,60 cm 100 y-1,2.47,0.00,0.40,0.00,60.82,0.00,76.00,44.08,7.31,59.51,15.43,106.48,2.47,0.00,0.83,0.00,0.00,88.80,17.64,0.00,117.10,15.70
75,'0',None,60 cm 100 y-1,2.49,0.00,0.40,0.00,61.30,0.00,76.00,44.81,7.37,59.75,14.95,106.73,2.49,0.00,0.83,0.00,0.00,88.80,17.88,0.00,119.50,16.00
76,'0',None,60 cm 100 y-1,2.51,0.00,0.41,0.00,61.79,0.00,76.00,45.55,7.42,60.01,14.46,106.98,2.51,0.00,0.83,0.00,0.00,88.80,18.14,0.00,122.10,16.20
77,'0',None,60 cm 100 y-1,2.53,0.00,0.41,0.00,62.29,0.00,76.00,46.29,7.47,60.26,13.97,107.24,2.53,0.00,0.83,0.00,0.00,88.80,18.39,0.00,124.60,16.50
78,'0',None,60 cm 100 y-1,2.55,0.00,0.41,0.00,62.78,0.00,76.00,47.04,7.52,60.52,13.47,107.49,2.55,0.00,0.83,0.00,0.00,88.80,18.64,0.00,127.20,16.70
79,'0',None,60 cm 100 y-1,2.57,0.00,0.42,0.00,63.28,0.00,76.00,47.80,7.58,60.77,12.97,107.75,2.57,0.00,0.82,0.00,0.00,88.80,18.90,0.00,129.70,17.00
80,'0',None,60 cm 100 y-1,2.60,0.00,0.42,0.00,63.79,0.00,76.00,48.56,7.63,61.03,12.47,108.01,2.60,0.00,0.82,0.00,0.00,88.80,19.16,0.00,132.30,17.20
81,'0',None,60 cm 100 y-1,2.62,0.00,0.42,0.00,64.29,0.00,76.00,49.32,7.68,61.29,11.97,108.27,2.62,0.00,0.82,0.00,0.00,88.80,19.42,0.00,134.90,17.50
82,'0',None,60 cm 100 y-1,2.64,0.00,0.43,0.00,64.80,0.00,76.00,50.09,7.73,61.56,11.46,108.53,2.64,0.00,0.82,0.00,0.00,88.80,19.69,0.00,137.60,17.80
83,'0',None,60 cm 100 y-1,2.66,0.00,0.43,0.00,65.31,0.00,76.00,50.87,7.79,61.82,10.95,108.80,2.66,0.00,0.82,0.00,0.00,88.80,19.95,0.00,140.20,18.00
84,'0',None,60 cm 100 y-1,2.68,0.00,0.43,0.00,65.83,0.00,76.00,51.65,7.84,62.09,10.44,109.07,2.68,0.00,0.81,0.00,0.00,88.80,20.22,0.00,142.90,18.30
85,'0',None,60 cm 100 y-1,2.70,0.00,0.44,0.00,66.35,0.00,76.00,52.44,7.89,62.36,9.92,109.34,2.70,0.00,0.81,0.00,0.00,88.80,20.49,0.00,145.60,18.60
86,'0',None,60 cm 100 y-1,2.72,0.00,0.44,0.00,66.87,0.00,76.00,53.23,7.94,62.63,9.40,109.61,2.72,0.00,0.81,0.00,0.00,88.80,20.76,0.00,148.30,18.80
87,'0',None,60 cm 100 y-1,2.74,0.00,0.44,0.00,67.39,0.00,76.00,54.03,8.00,62.91,8.88,109.88,2.74,0.00,0.81,0.00,0.00,88.80,21.04,0.00,151.10,19.10
88,'0',None,60 cm 100 y-1,2.76,0.00,0.45,0.00,67.92,0.00,76.00,54.83,8.05,63.18,8.35,110.16,2.76,0.00,0.81,0.00,0.00,88.80,21.31,0.00,153.80,19.40
89,'0',None,60 cm 100 y-1,2.78,0.00,0.45,0.00,68.45,0.00,76.00,55.64,8.10,63.46,7.83,110.44,2.78,0.00,0.80,0.00,0.00,88.80,21.59,0.00,156.60,19.70
90,'0',None,60 cm 100 y-1,2.81,0.00,0.45,0.00,68.99,0.00,76.00,56.45,8.15,63.74,7.29,110.72,2.81,0.00,0.80,0.00,0.00,88.80,21.87,0.00,159.40,19.90
91,'0',None,60 cm 100 y-1,2.83,0.00,0.46,0.00,69.52,0.00,76.00,57.27,8.21,64.03,6.76,111.00,2.83,0.00,0.80,0.00,0.00,88.80,22.15,0.00,162.30,20.20
92,'0',None,60 cm 100 y-1,2.85,0.00,0.46,0.00,70.07,0.00,76.00,58.09,8.26,64.31,6.22,111.29,2.85,0.00,0.80,0.00,0.00,88.80,22.44,0.00,165.10,20.50
93,'0',None,60 cm 100 y-1,2.87,0.00,0.46,0.00,70.61,0.00,76.00,58.92,8.31,64.60,5.68,111.57,2.87,0.00,0.80,0.00,0.00,88.80,22.73,0.00,168.00,20.80
94,'0',None,60 cm 100 y-1,2.89,0.00,0.47,0.00,71.15,0.00,76.00,59.75,8.36,64.89,5.13,111.86,2.89,0.00,0.79,0.00,0.00,88.80,23.02,0.00,170.90,21.10
95,'0',None,60 cm 100 y-1,2.92,0.00,0.47,0.00,71.70,0.00,76.00,60.59,8.42,65.18,4.59,112.16,2.92,0.00,0.79,0.00,0.00,88.80,23.31,0.00,173.80,21.40
96,'0',None,60 cm 100 y-1,2.94,0.00,0.48,0.00,72.26,0.00,76.00,61.44,8.47,65.47,4.04,112.45,2.94,0.00,0.79,0.00,0.00,88.80,23.60,0.00,176.70,21.70
97,'0',None,60 cm 100 y-1,2.96,0.00,0.48,0.00,72.81,0.00,76.00,62.29,8.52,65.77,3.48,112.75,2.96,0.00,0.79,0.00,0.00,88.80,23.90,0.00,179.70,22.00
98,'0',None,60 cm 100 y-1,2.98,0.00,0.48,0.00,73.37,0.00,76.00,63.14,8.57,66.07,2.93,113.04,2.98,0.00,0.79,0.00,0.00,88.80,24.20,0.00,182.70,22.30
99,'0',None,60 cm 100 y-1,3.01,0.00,0.49,0.00,73.93,0.00,76.00,64.00,8.63,66.37,2.37,113.35,3.01,0.00,0.78,0.00,0.00,88.80,24.50,0.00,185.70,22.60
100,'0',None,60 cm 100 y-1,3.03,0.00,0.49,0.00,74.50,0.00,76.00,64.87,8.68,66.67,1.81,113.65,3.03,0.00,0.78,0.00,0.00,88.80,24.80,0.00,188.70,22.90
1,'0',None,122 cm 100 y-1,0.81,0.00,0.22,0.00,32.90,0.00,76.00,4.70,3.67,47.88,43.18,94.86,2.36,0.00,0.94,0.00,0.00,88.80,6.01,0.00,0.80,4.10
2,'0',None,122 cm 100 y-1,0.83,0.00,0.22,0.00,33.19,0.00,76.00,5.07,3.84,47.96,42.89,94.94,0.83,0.00,0.94,0.00,0.00,88.80,6.09,0.00,1.60,4.20
3,'0',None,122 cm 100 y-1,0.84,0.00,0.22,0.00,33.50,0.00,76.00,5.47,4.02,48.05,42.58,95.02,0.84,0.00,0.93,0.00,0.00,88.80,6.18,0.00,2.50,4.20
4,'0',None,122 cm 100 y-1,0.86,0.00,0.22,0.00,33.83,0.00,76.00,5.88,4.20,48.13,42.26,95.11,0.86,0.00,0.93,0.00,0.00,88.80,6.26,0.00,3.30,4.30
5,'0',None,122 cm 100 y-1,0.88,0.00,0.22,0.00,34.17,0.00,76.00,6.31,4.38,48.22,41.91,95.20,0.88,0.00,0.93,0.00,0.00,88.80,6.35,0.00,4.20,4.40
6,'0',None,122 cm 100 y-1,0.89,0.00,0.23,0.00,34.53,0.00,76.00,6.75,4.56,48.31,41.56,95.29,0.89,0.00,0.93,0.00,0.00,88.80,6.44,0.00,5.10,4.50
7,'0',None,122 cm 100 y-1,0.91,0.00,0.23,0.00,34.91,0.00,76.00,7.22,4.73,48.40,41.18,95.38,0.91,0.00,0.93,0.00,0.00,88.80,6.53,0.00,6.00,4.60
8,'0',None,122 cm 100 y-1,0.93,0.00,0.23,0.00,35.30,0.00,76.00,7.70,4.91,48.50,40.80,95.47,0.93,0.00,0.93,0.00,0.00,88.80,6.62,0.00,7.00,4.70
9,'0',None,122 cm 100 y-1,0.96,0.00,0.23,0.00,35.70,0.00,76.00,8.20,5.09,48.59,40.39,95.57,0.96,0.00,0.93,0.00,0.00,88.80,6.72,0.00,7.90,4.80
10,'0',None,122 cm 100 y-1,0.98,0.00,0.24,0.00,36.13,0.00,76.00,8.72,5.27,48.69,39.97,95.67,0.98,0.00,0.93,0.00,0.00,88.80,6.82,0.00,8.90,4.90
11,'0',None,122 cm 100 y-1,1.00,0.00,0.24,0.00,36.56,0.00,76.00,9.25,5.44,48.79,39.54,95.77,1.00,0.00,0.93,0.00,0.00,88.80,6.92,0.00,9.90,5.00
12,'0',None,122 cm 100 y-1,1.03,0.00,0.24,0.00,37.02,0.00,76.00,9.81,5.62,48.89,39.08,95.87,1.03,0.00,0.93,0.00,0.00,88.80,7.02,0.00,10.90,5.10
13,'0',None,122 cm 100 y-1,1.05,0.00,0.25,0.00,37.49,0.00,76.00,10.38,5.80,49.00,38.62,95.97,1.05,0.00,0.93,0.00,0.00,88.80,7.13,0.00,12.00,5.20
14,'0',None,122 cm 100 y-1,1.08,0.00,0.25,0.00,37.97,0.00,76.00,10.97,5.98,49.10,38.14,96.08,1.08,0.00,0.92,0.00,0.00,88.80,7.23,0.00,13.00,5.30
15,'0',None,122 cm 100 y-1,1.11,0.00,0.25,0.00,38.47,0.00,76.00,11.57,6.16,49.22,37.64,96.19,1.11,0.00,0.92,0.00,0.00,88.80,7.35,0.00,14.20,5.40
16,'0',None,122 cm 100 y-1,1.14,0.00,0.26,0.00,38.98,0.00,76.00,12.20,6.33,49.33,37.13,96.31,1.14,0.00,0.92,0.00,0.00,88.80,7.46,0.00,15.30,5.50
17,'0',None,122 cm 100 y-1,1.17,0.00,0.26,0.00,39.51,0.00,76.00,12.84,6.51,49.45,36.61,96.42,1.17,0.00,0.92,0.00,0.00,88.80,7.58,0.00,16.50,5.70
18,'0',None,122 cm 100 y-1,1.20,0.00,0.26,0.00,40.05,0.00,76.00,13.50,6.69,49.57,36.07,96.54,1.20,0.00,0.92,0.00,0.00,88.80,7.70,0.00,17.70,5.80
19,'0',None,122 cm 100 y-1,1.24,0.00,0.27,0.00,40.61,0.00,76.00,14.18,6.87,49.69,35.51,96.67,1.24,0.00,0.92,0.00,0.00,88.80,7.82,0.00,18.90,5.90
20,'0',None,122 cm 100 y-1,1.27,0.00,0.27,0.00,41.18,0.00,76.00,14.87,7.04,49.82,34.94,96.79,1.27,0.00,0.92,0.00,0.00,88.80,7.95,0.00,20.20,6.00
21,'0',None,122 cm 100 y-1,1.31,0.00,0.27,0.00,41.77,0.00,76.00,15.59,7.22,49.95,34.36,96.93,1.31,0.00,0.92,0.00,0.00,88.80,8.08,0.00,21.50,6.20
22,'0',None,122 cm 100 y-1,1.35,0.00,0.28,0.00,42.37,0.00,76.00,16.32,7.40,50.08,33.76,97.06,1.35,0.00,0.92,0.00,0.00,88.80,8.21,0.00,22.80,6.30
23,'0',None,122 cm 100 y-1,1.38,0.00,0.28,0.00,42.98,0.00,76.00,17.07,7.58,50.22,33.15,97.20,1.38,0.00,0.91,0.00,0.00,88.80,8.35,0.00,24.20,6.40
24,'0',None,122 cm 100 y-1,1.43,0.00,0.29,0.00,43.61,0.00,76.00,17.83,7.76,50.36,32.53,97.34,1.43,0.00,0.91,0.00,0.00,88.80,8.49,0.00,25.60,6.60
25,'0',None,122 cm 100 y-1,1.47,0.00,0.29,0.00,44.25,0.00,76.00,18.62,7.93,50.51,31.89,97.49,1.47,0.00,0.91,0.00,0.00,88.80,8.64,0.00,27.10,6.70
26,'0',None,122 cm 100 y-1,1.51,0.00,0.30,0.00,44.91,0.00,76.00,19.42,8.11,50.66,31.24,97.64,1.51,0.00,0.91,0.00,0.00,88.80,8.79,0.00,28.60,6.90
27,'0',None,122 cm 100 y-1,1.56,0.00,0.30,0.00,45.58,0.00,76.00,20.24,8.29,50.82,30.58,97.79,1.56,0.00,0.91,0.00,0.00,88.80,8.95,0.00,30.20,7.00
28,'0',None,122 cm 100 y-1,1.60,0.00,0.30,0.00,46.26,0.00,76.00,21.08,8.47,50.98,29.90,97.95,1.60,0.00,0.91,0.00,0.00,88.80,9.11,0.00,31.80,7.20
29,'0',None,122 cm 100 y-1,1.65,0.00,0.31,0.00,46.96,0.00,76.00,21.93,8.64,51.14,29.21,98.12,1.65,0.00,0.91,0.00,0.00,88.80,9.27,0.00,33.40,7.30
